reference,,,,,inner,,,,,outer,,,,,both,,,
real,user,sys,speed-up,,real,user,sys,speed-up,,real,user,sys,speed-up,,real,user,sys,speed-up
0.025,0.02,0.002,1,0,0.034,0.03,0.005,0.73529,0,0.023,0.022,0.003,1.087,0,0.028,0.04,0.005,0.89286
0.64,0.622,0.007,1,0,0.568,1.228,0.028,1.1268,0,0.377,0.696,0.011,1.6976,0,0.481,0.9,0.014,1.3306
1.284,1.252,0.012,1,0,1.058,2.464,0.029,1.2136,0,0.72,1.377,0.012,1.7833,0,0.941,1.895,0.022,1.3645
1.869,1.842,0.011,1,0,1.572,3.81,0.045,1.1889,0,1.059,2.08,0.014,1.7649,0,1.317,2.845,0.025,1.4191
2.62,2.558,0.018,1,0,2.314,5.108,0.119,1.1322,0,1.51,2.879,0.033,1.7351,0,1.847,3.774,0.034,1.4185
3.935,3.462,0.058,1,0,2.962,6.952,0.15,1.3285,0,1.87,3.734,0.026,2.1043,0,2.311,4.901,0.035,1.7027
4.5,4.179,0.066,1,0,3.592,8.289,0.18,1.2528,0,2.273,4.657,0.036,1.9798,0,2.903,5.858,0.059,1.5501
5.363,4.994,0.054,1,0,3.8,9.801,0.065,1.4113,0,2.668,5.526,0.042,2.0101,0,3.223,7.369,0.041,1.664
10.812,10.697,0.033,1,0,6.814,19.682,0.159,1.5867,0,5.06,13.82,0.047,2.1368,0,5.918,16.731,0.065,1.827
13.961,13.893,0.03,1,0,8.852,25.948,0.272,1.5772,0,6.693,18.58,0.073,2.0859,0,7.636,21.901,0.077,1.8283
